Rank,Url,Category
304,investopedia.com,Reference
306,webmd.com,Health
307,cornell.edu,Reference
314,cisco.com,Business
315,loc.gov,Recreation
318,speedtest.net,Computers
321,theatlantic.com,Arts
322,nationalgeographic.com,News
325,ikea.com,Shopping
327,ietf.org,Computers
329,cbsnews.com,Arts
333,washington.edu,Reference
336,weather.com,Arts
337,webex.com,Business
338,digg.com,Society
342,irs.gov,Business
344,marketwatch.com,Business
353,prnewswire.com,Business
357,usnews.com,News
358,dell.com,Computers
359,marriott.com,Recreation
367,about.com,Computers
372,state.gov,Society
374,cambridge.org,Reference
385,ups.com,Business
389,princeton.edu,Reference
391,stumbleupon.com,Computers
393,oup.com,Reference
395,sciencemag.org,Science
402,bestbuy.com,Shopping
403,economist.com,Business
407,mashable.com,Computers
408,constantcontact.com,Business
413,fedex.com,Business
416,unesco.org,Society
426,nypost.com,Business
430,britannica.com,Kids
432,usda.gov,Science
433,networkadvertising.org,Society
434,whitehouse.gov,Society
435,feedburner.com,Computers
436,hulu.com,Arts
438,webs.com,Computers
443,columbia.edu,Reference
452,steampowered.com,Games
456,cbc.ca,Arts
460,umich.edu,Reference
461,vox.com,Computers
463,target.com,Shopping
466,americanexpress.com,Business
468,psu.edu,Reference
469,zoho.com,Computers
470,abc.net.au,Arts
474,engadget.com,Home
478,yale.edu,Reference
479,redhat.com,Computers
480,epa.gov,Science
482,noaa.gov,Science
485,symantec.com,Computers
486,sciencedaily.com,Computers
487,elsevier.com,Reference
488,businesswire.com,Business
489,zdnet.com,Business
492,chess.com,Games
501,meetup.com,Computers
502,nvidia.com,Computers
510,upenn.edu,Reference
511,nist.gov,Business
514,iso.org,Business
517,newyorker.com,Arts
520,realtor.com,Business
525,nike.com,Shopping
528,fastcompany.com,Business
529,avast.com,Computers
532,psychologytoday.com,Health
534,gizmodo.com,Home
538,guardian.co.uk,News
541,sun.com,Computers
542,inc.com,Business
545,ieee.org,Computers
549,ox.ac.uk,Reference
550,wisc.edu,Reference
551,fortune.com,News
560,deloitte.com,Business
561,bbb.org,Home
563,manoramaonline.com,News
566,capitalone.com,Business
567,hdfcbank.com,Business
569,entrepreneur.com,Business
570,plos.org,Reference
574,ed.gov,Reference
575,jhu.edu,Reference
576,xnxx.com,Adult
582,blackboard.com,Computers
583,uci.edu,Reference
586,bmj.com,Health
589,att.com,Business
592,chicagotribune.com,News
594,ucla.edu,Reference
595,cmu.edu,Reference
596,weforum.org,Business
597,sfgate.com,News
602,slate.com,Society
605,newrelic.com,Computers
607,afternic.com,Computers
610,python.org,Computers
612,newsweek.com,News
614,biomedcentral.com,Health
616,ask.com,Computers
619,apa.org,Health
627,oecd.org,Society
628,utexas.edu,Reference
631,pcmag.com,Computers
633,timeanddate.com,Kids
637,cam.ac.uk,Reference
639,nps.gov,Science
642,chron.com,News
650,hilton.com,Recreation
651,arstechnica.com,Computers
654,ftc.gov,Society
656,uchicago.edu,Reference
657,jstor.org,Science
659,bizjournals.com,Business
664,reverso.net,Kids
665,openstreetmap.org,Reference
666,thesun.co.uk,Business
667,adp.com,Business
668,mckinsey.com,Business
670,lenovo.com,Computers
673,verisign.com,Computers
677,xing.com,Computers
680,fao.org,Society
691,howstuffworks.com,Kids
692,icicibank.com,Business
695,purdue.edu,Reference
696,playstation.com,Games
703,ndtv.com,Arts
704,uiuc.edu,Reference
710,istockphoto.com,Business
712,usc.edu,Reference
715,autodesk.com,Computers
717,nyu.edu,Reference
723,smh.com.au,News
726,pnas.org,Science
728,verizon.com,Business
732,news.com.au,News
734,variety.com,Arts
738,namecheap.com,Computers
739,fool.com,Business
745,ign.com,Games
748,ning.com,Computers
749,ea.com,Games
762,census.gov,Science
763,lifehacker.com,Computers
768,rollingstone.com,Arts
777,parallels.com,Computers
778,breitbart.com,News
780,gartner.com,Business
784,vmware.com,Computers
788,earthlink.net,Computers
793,asus.com,Computers
795,usgs.gov,Science
802,duke.edu,Reference
803,msu.edu,Reference
807,lowes.com,Shopping
814,thefreedictionary.com,Reference
824,northwestern.edu,Reference
826,sky.com,Arts
827,indianexpress.com,News
828,ufl.edu,Reference
835,bls.gov,Science
837,postgresql.org,Computers
844,hm.com,Business
848,umd.edu,Reference
849,history.com,Arts
851,ucsd.edu,Reference
853,epicgames.com,Games
855,urbandictionary.com,Arts
858,sec.gov,Business
878,unc.edu,Reference
887,theglobeandmail.com,News
892,td.com,Business
895,today.com,Computers
896,kaspersky.com,Computers
900,hollywoodreporter.com,Arts
901,zend.com,Computers
904,bluehost.com,Computers
912,itu.int,Business
919,libsyn.com,Computers
923,newscientist.com,Kids
925,expedia.com,Recreation
928,utoronto.ca,Reference
930,eff.org,Computers
938,utorrent.com,Computers
940,unicef.org,Society
946,mitre.org,Science
947,siemens.com,Business
956,uspto.gov,Society
959,macys.com,Shopping
960,colorado.edu,Reference
962,dot.gov,Business
963,java.com,Computers
971,techtarget.com,Computers
973,rottentomatoes.com,Arts
974,gamespot.com,Games
975,openssl.org,Computers
978,arizona.edu,Reference
982,mapquest.com,Reference
986,biblegateway.com,Society
989,rutgers.edu,Reference
990,freebsd.org,Computers
992,kernel.org,Computers
995,wunderground.com,News
998,technologyreview.com,Science
999,bitbucket.org,Computers
1003,ssrn.com,Business
1009,icann.org,Computers
1012,ucdavis.edu,Reference
1014,schwab.com,Business
1018,sba.gov,Business
1019,ubc.ca,Reference
1026,gallup.com,Business
1035,iana.org,Computers
1038,pwc.com,Business
1040,xbox.com,Games
1044,dmoz.org,Computers
1056,hindustantimes.com,News
1065,prweb.com,News
1070,opensource.org,Computers
1072,virginia.edu,Reference
1074,salon.com,Arts
1080,fcc.gov,Business
1081,archives.gov,Reference
1082,last.fm,Arts
1084,shutterfly.com,Computers
1090,garmin.com,Business
1095,tamu.edu,Reference
1104,osu.edu,Reference
1105,adweek.com,News
1111,lonelyplanet.com,Recreation
1113,bu.edu,Reference
1115,accenture.com,Business
1119,acm.org,Computers
1121,wordreference.com,Reference
1123,sony.com,Shopping
1131,walgreens.com,Shopping
1132,gsmarena.com,Home
1149,va.gov,Society
1150,redbubble.com,Shopping
1151,nasdaq.com,Business
1156,imf.org,Society
1159,businessweek.com,Business
1164,nokia.com,Business
1166,cuny.edu,Reference
1169,consumerreports.org,Home
1171,wustl.edu,Reference
1173,discogs.com,Arts
1182,ap.org,News
1186,kde.org,Computers
1187,ey.com,Business
1188,zara.com,Shopping
1200,ucl.ac.uk,Reference
1204,perl.org,Computers
1210,utah.edu,Reference
1216,phpbb.com,Computers
1217,medscape.com,Health
1219,smugmug.com,Computers
1220,nfl.com,Sports
1222,avg.com,Computers
1226,pcworld.com,Computers
1228,delta.com,Recreation
1230,faqs.org,Computers
1232,cancer.org,Science
1236,gettyimages.com,Business
1240,undp.org,Society
1241,rediff.com,Computers
1246,observer.com,News
1251,citrix.com,Computers
1252,amd.com,Business
1254,gutenberg.org,Arts
1256,liveinternet.ru,Adult
1258,truste.com,Home
1260,foodnetwork.com,Arts
1265,thestar.com,Kids
1266,pandora.com,Arts
1267,ncsu.edu,Reference
1269,energy.gov,Science
1270,indiana.edu,Reference
1280,billboard.com,Arts
1282,theregister.co.uk,Computers
1305,rfc-editor.org,Computers
1311,t-mobile.com,Business
1315,dol.gov,Society
1321,broadcom.com,Business
1324,aarp.org,Society
1325,lego.com,Business
1330,ultimate-guitar.com,Arts
1336,mercurynews.com,News
1341,elsevierhealth.com,Shopping
1342,lg.com,Business
1346,cpan.org,Computers
1347,nhl.com,Sports
1350,udel.edu,Reference
1358,vrbo.com,Recreation
1360,domaintools.com,Computers
1361,novell.com,Computers
1363,iherb.com,Shopping
1364,france24.com,News
1365,dafont.com,Computers
1372,snopes.com,Society
1373,thawte.com,Computers
1395,ed.ac.uk,Reference
1396,4shared.com,Computers
1410,cygwin.com,Computers
1414,ucsb.edu,Reference
1419,coe.int,Society
1420,cell.com,Science
1427,ilo.org,Science
1428,fifa.com,Kids
1436,washingtontimes.com,News
1439,answers.com,Computers
1441,panasonic.com,Business
1445,nbc.com,Arts
1451,philips.com,Business
1460,cancer.gov,Health
1464,ticketmaster.com,Shopping
1470,hawaii.edu,Reference
1473,startribune.com,News
1474,thomsonreuters.com,Business
1475,videolan.org,Computers
1485,georgetown.edu,Reference
1486,youporn.com,Adult
1491,usertrust.com,Computers
1494,aweber.com,Computers
1499,royalbank.com,Business
1503,pbase.com,Computers
1504,ehow.com,Home
1508,iop.org,Science
1509,homestead.com,Computers
1511,timeout.com,Recreation
1512,nj.com,News
1523,space.com,Kids
1524,redbull.com,Business
1536,nintendo.com,Games
1537,southwest.com,Recreation
1538,wipo.int,Reference
1539,openldap.org,Computers
1540,denverpost.com,News
1543,cvent.com,Business
1544,redcross.org,Society
1553,britishcouncil.org,Arts
1562,pixlr.com,Computers
1563,hrw.org,Society
1565,battle.net,Games
1568,securityfocus.com,Computers
1572,gimp.org,Computers
1573,caltech.edu,Reference
1574,vatican.va,Kids
1577,olympic.org,Sports
1581,brown.edu,Reference
1584,ancestry.com,Society
1587,bankrate.com,News
1591,sophos.com,Computers
1593,fema.gov,Business
1595,united.com,Recreation
1604,miamiherald.com,News
1607,elle.com,Arts
1617,ford.com,Business
1622,eonline.com,Arts
1624,popularmechanics.com,Recreation
1628,mcgill.ca,Reference
1631,metmuseum.org,Reference
1638,uga.edu,Reference
1639,osha.gov,Health
1641,examiner.com,News
1645,logitech.com,Computers
1652,csmonitor.com,News
1655,overstock.com,Shopping
1663,unl.edu,Reference
1665,usbank.com,Business
1672,blackberry.com,Computers
1674,dpreview.com,Home
1679,esa.int,Kids
1680,perl.com,Computers
1683,uiowa.edu,Reference
1693,isc.org,Computers
1697,openoffice.org,Computers
1699,azcentral.com,News
1710,warnerbros.com,Kids
1713,treehugger.com,Society
1716,uscourts.gov,Kids
1722,umass.edu,Reference
1724,gmu.edu,Reference
1727,technorati.com,Computers
1728,ohchr.org,Society
1737,hpe.com,News
1738,foreignpolicy.com,Science
1753,kayak.com,Recreation
1768,000webhost.com,Kids
1769,monster.com,Business
1771,livescore.com,Sports
1777,zappos.com,Shopping
1783,gwu.edu,Reference
1795,popsci.com,Kids
1808,usf.edu,Reference
1809,mentalfloss.com,News
1814,searchenginejournal.com,Computers
1819,sbnation.com,Sports
1822,youth.cn,Kids
1826,lua.org,Computers
1828,ucsf.edu,Reference
1831,centos.org,Computers
1840,scholastic.com,Business
1846,blizzard.com,Games
1848,hindawi.com,Science
1850,worldcat.org,Reference
1855,globalsources.com,Business
1860,upi.com,News
1866,baltimoresun.com,News
1875,legacy.com,Shopping
1888,lse.ac.uk,Reference
1889,rochester.edu,Reference
1893,boutell.com,Computers
1898,justia.com,Society
1899,hbs.edu,Reference
1900,business-standard.com,Business
1912,barrons.com,Business
1914,byu.edu,Reference
1915,rsc.org,Science
1918,fsu.edu,Reference
1922,premierleague.com,Sports
1923,secureworks.com,Computers
1925,nap.edu,Science
1926,nationalpost.com,Kids
1927,bt.com,Business
1929,starbucks.com,Business
1934,squid-cache.org,Computers
1935,skysports.com,Sports
1942,theage.com.au,News
1956,uwaterloo.ca,Reference
1959,rice.edu,Reference
1962,dartmouth.edu,Reference
1973,ama-assn.org,Health
1976,lifehack.org,Home
1978,thestreet.com,Business
1983,clevelandclinic.org,Health
1986,freep.com,News
1990,buffalo.edu,Reference
1993,hardened-php.net,Computers
2017,codeplex.com,Computers
2019,cwi.nl,Science
2028,agoda.com,Recreation
2029,emarketer.com,Business
2031,formula1.com,Sports
2032,suntimes.com,News
2042,anu.edu.au,Reference
2043,tomshardware.com,Computers
2044,hopkinsmedicine.org,Health
2045,uefa.com,Kids
2051,ajc.com,News
2063,timesonline.co.uk,Business
2066,cbs.com,Arts
2085,study.com,Arts
2096,xda-developers.com,Computers
2098,wikispaces.com,Computers
2106,federalreserve.gov,News
2108,moma.org,Reference
2114,nd.edu,Reference
2116,pcre.org,Computers
2117,eclipse.org,Computers
2122,unimelb.edu.au,Reference
2123,faa.gov,Kids
2124,mediawiki.org,Computers
2125,yourdictionary.com,Reference
2127,cern.ch,Science
2131,uoregon.edu,Reference
2133,travelandleisure.com,Recreation
2135,gzip.org,Computers
2137,visa.com,Business
2138,brainyquote.com,Reference
2141,biography.com,Arts
2146,wikiquote.org,Reference
2149,onlamp.com,Computers
2151,wireshark.org,Computers
2152,spec.org,Computers
2167,turnitin.com,Reference
2171,aclu.org,Society
2177,angel.co,Computers
2178,kohls.com,Shopping
2191,ipcc.ch,Science
2202,hgtv.com,Arts
2204,sedo.com,Computers
2219,webdav.org,Computers
2220,sjtu.edu.cn,Reference
2221,uq.edu.au,Reference
2223,dreamhost.com,Computers
2224,3m.com,Business
2225,adidas.com,Business
2228,imperial.ac.uk,Reference
2229,techsmith.com,Computers
2230,fastcgi.com,Computers
2231,ccleaner.com,Computers
2232,uh.edu,Reference
2233,metacafe.com,Recreation
2240,cio.com,Business
2248,drudgereport.com,News
2249,freetype.org,Computers
2251,uic.edu,Reference
2253,mathworks.com,Science
2254,dnb.com,Business
2267,enlightenment.org,Computers
2270,rfi.fr,Arts
2271,pewinternet.org,Society
2272,modsecurity.org,Computers
2276,emory.edu,Reference
2277,nsf.gov,Reference
2280,missouri.edu,Reference
2284,discovermagazine.com,Science
2288,uky.edu,Reference
2299,pnc.com,Business
2303,rsasecurity.com,Computers
2307,counterpane.com,Computers
2315,wise.com,Computers
2318,ucsc.edu,Reference
2322,menshealth.com,Health
2326,fas.org,Science
2327,skyrock.com,Computers
2332,hwg.org,Computers
2336,unity.com,Business
2339,theknot.com,Society
2342,cdbaby.com,Shopping
2350,rd.com,News
2354,akamai.com,Computers
2358,self.com,Health
2359,gamestop.com,Shopping
2361,nationalreview.com,Society
2369,motorsport.com,Sports
2374,edmunds.com,Home
2379,ijg.org,Computers
2384,icq.com,Computers
2392,hud.gov,Business
2394,metacritic.com,Arts
2395,tradedoubler.com,Computers
2400,rte.ie,Arts
2403,thenation.com,Society
2404,unhcr.org,Society
2405,manchester.ac.uk,Reference
2408,kidshealth.org,Health
2411,sephora.com,Shopping
2414,tsinghua.edu.cn,Reference
2419,commbank.com.au,Business
2421,marthastewart.com,Home
2424,newsmax.com,News
2425,oculus.com,Arts
2430,newsday.com,News
2439,apache-ssl.org,Computers
2442,virtualbox.org,Computers
2444,theonion.com,News
2445,yellowpages.com,Reference
2449,forrester.com,Business
2455,pdflib.com,Computers
2457,univie.ac.at,Reference
2466,ge.com,Business
2467,redtube.com,Adult
2468,freetds.org,Computers
2469,ksl.com,Arts
2473,syr.edu,Reference
2474,ucr.edu,Reference
2492,uconn.edu,Reference
2495,sacbee.com,News
2496,bedbathandbeyond.com,Shopping
2504,hangseng.com,Business
2506,gamesradar.com,Games
2510,gsu.edu,Reference
2512,bartleby.com,Arts
2524,mcdonalds.com,Business
2528,cronolog.org,Computers
2531,pitchfork.com,Business
2542,blender.org,Computers
2549,usaa.com,Business
2554,usp.br,Reference
2555,iplanet.com,Computers
2556,investors.com,Business
2561,samsclub.com,Shopping
2562,wto.org,Society
2575,dior.com,Arts
2576,grubhub.com,Recreation
2579,cafepress.com,Shopping
2588,7-zip.org,Computers
2598,copyright.gov,News
2602,gla.ac.uk,Reference
2603,honeywell.com,Business
2605,netgear.com,Computers
2614,abb.com,Business
2615,on24.com,Business
2626,abebooks.com,Shopping
2630,temple.edu,Reference
2649,c-span.org,Arts
2657,successfactors.com,Computers
2658,rockstargames.com,Games
2662,phpmyadmin.net,Computers
2663,warwick.ac.uk,Reference
2664,unfccc.int,Society
2672,ti.com,Business
2685,drugs.com,Health
2694,appleinsider.com,Computers
2701,u-tokyo.ac.jp,Reference
2704,netperf.org,Computers
2709,blog.com,Computers
2716,canon.com,Business
2718,wbur.org,Arts
2723,fraunhofer.de,Business
2731,kaiserpermanente.org,Business
2738,nme.com,Arts
2740,careerbuilder.com,Business
2744,ubs.com,Business
2745,fws.gov,Recreation
2747,indiewire.com,Arts
2748,net-a-porter.com,Shopping
2756,aastocks.com,Business
2764,uvm.edu,Reference
2767,sun-sentinel.com,News
2769,nngroup.com,Computers
2770,jsonline.com,News
2775,morningstar.com,Business
2779,bodybuilding.com,Shopping
2781,netease.com,Business
2790,bitdefender.com,Computers
2808,samhsa.gov,Health
2810,leeds.ac.uk,Reference
2814,autoblog.com,Recreation
2815,torproject.org,Computers
2816,tate.org.uk,Arts
2820,unm.edu,Reference
2823,zoominfo.com,Computers
2827,gnome.org,Computers
2837,ku.edu,Reference
2838,orlandosentinel.com,News
2840,rapidshare.com,Computers
2842,insidehighered.com,Reference
2849,unep.org,Science
2851,rand.org,Science
2858,gigaom.com,Computers
2862,informationweek.com,Business
2863,al.com,News
2866,nla.gov.au,Reference
2873,wolfram.com,Science
2879,aps.org,Science
2881,mercola.com,Health
2887,starwars.com,Arts
2890,ucf.edu,Reference
2891,ets.org,Reference
2895,opentable.com,Recreation
2897,urbanoutfitters.com,Shopping
2904,iea.org,Business
2906,guinnessworldrecords.com,Kids
2910,winzip.com,Computers
2920,iplt20.com,Sports
2927,fanfiction.net,Arts
2940,chanel.com,Arts
2942,tinkoff.ru,Recreation
2946,encyclopedia.com,Kids
2947,lynda.com,Computers
2963,networkworld.com,Business
2964,emirates.com,Recreation
2968,realsimple.com,Home
2978,codeproject.com,Computers
2990,bc.edu,Reference
2991,bmo.com,Business
2992,netvibes.com,Computers
2994,northeastern.edu,Reference
3000,lsu.edu,Reference
3007,poetryfoundation.org,Arts
3008,entrust.net,Computers
3013,getresponse.com,Computers
3018,myfonts.com,Computers
3021,bhg.com,Home
3022,whitepages.com,Reference
3023,westernunion.com,Business
3025,fsf.org,Computers
3029,asp.net,Computers
3036,epfl.ch,Reference
3038,worldwildlife.org,Kids
3044,kpmg.com,Business
3048,nationalarchives.gov.uk,Reference
3051,lexisnexis.com,News
3053,opensuse.org,Computers
3054,asm.org,Science
3055,allmusic.com,Arts
3056,vistaprint.com,Business
3058,bcg.com,Business
3070,avira.com,Computers
3073,cargurus.com,Shopping
3082,sprint.com,Business
3083,hermes.com,Shopping
3084,infowars.com,Society
3088,usdoj.gov,Society
3089,afp.com,News
3091,drexel.edu,Reference
3092,active.com,Business
3093,eurogamer.net,Games
3096,diabetes.org,Health
3097,cibc.com,Business
3109,sitepoint.com,Computers
3114,match.com,Society
3118,shopbop.com,Shopping
3119,priceline.com,Recreation
3121,bittorrent.com,Computers
3123,hku.hk,Reference
3124,marvel.com,Arts
3128,gab.com,Business
3129,icbc.com.cn,Business
3143,queensu.ca,Reference
3147,ewg.org,Science
3155,britishmuseum.org,Reference
3156,esri.com,Science
3161,ala.org,Reference
3164,artnet.com,Arts
3166,accorhotels.com,Recreation
3172,victoriassecret.com,Shopping
3174,parents.com,Home
3177,jpmorganchase.com,Business
3179,pri.org,Arts
3184,gao.gov,Business
3186,vcu.edu,Reference
3188,oprah.com,Arts
3189,bp.com,Business
3190,britishairways.com,Recreation
3217,stltoday.com,News
3218,ubi.com,Games
3226,honda.com,Business
3234,lbl.gov,Science
3244,kcl.ac.uk,Reference
3246,iata.org,Business
3248,rackspace.com,Computers
3255,plosone.org,Science
3261,oclc.org,Business
3269,architecturaldigest.com,Arts
3275,umontreal.ca,Reference
3278,nrdc.org,Society
3283,moonfruit.com,Computers
3285,sleepfoundation.org,Health
3287,reviewjournal.com,News
3293,cjb.net,Computers
3300,canada.com,Computers
3303,kansascity.com,News
3314,designboom.com,Arts
3317,medicare.gov,Home
3320,authorize.net,Business
3321,geocaching.com,Recreation
3324,correios.com.br,Society
3326,bl.uk,Reference
3329,ncsl.org,Society
3344,mensjournal.com,Society
3346,nfpa.org,Business
3349,csiro.au,Science
3351,6pm.com,Shopping
3352,cuhk.edu.hk,Reference
3362,couchsurfing.com,Computers
3369,kff.org,Society
3372,ericsson.com,Business
3382,foxitsoftware.com,Computers
3392,uvic.ca,Reference
3395,foodandwine.com,Home
3396,nottingham.ac.uk,Reference
3398,cpsc.gov,Health
3399,sciencenews.org,Kids
3400,epicurious.com,Home
3401,xerox.com,Business
3417,yamaha.com,Arts
3426,lotterypost.com,Games
3428,sparknotes.com,Arts
3431,mindmeister.com,Reference
3432,nypl.org,Reference
3439,sc.edu,Reference
3441,reliefweb.int,Society
3443,boeing.com,Business
3445,pantone.com,Business
3466,rug.nl,Reference
3472,rae.es,Kids
3476,kuleuven.be,Reference
3480,auspost.com.au,Society
3490,aap.org,Health
3492,panda.org,Society
3494,cracked.com,Recreation
3495,sdsu.edu,Reference
3496,adelaide.edu.au,Reference
3498,volvocars.com,Recreation
3499,business.com,Business
3500,fendi.com,Arts
3502,nolo.com,Society
3508,alternet.org,News
3509,motorola.com,Business
3519,ou.edu,Reference
3521,mediapost.com,News
3529,esteri.it,Society
3530,zotero.org,Computers
3532,stlouisfed.org,Society
3535,jcpenney.com,Shopping
3537,cision.com,News
3538,kqed.org,Arts
3542,euractiv.com,Society
3547,comcast.com,Arts
3548,energystar.gov,Science
3554,law.com,News
3556,bostonherald.com,News
3567,sas.com,Computers
3569,dickssportinggoods.com,Shopping
3571,fordham.edu,Reference
3576,tudelft.nl,Reference
3577,officedepot.com,Shopping
3581,unt.edu,Reference
3585,jnu.edu.cn,Reference
3594,peta.org,Society
3608,sltrib.com,News
3609,parliament.uk,Kids
3620,boxofficemojo.com,Arts
3625,mindbodyonline.com,Computers
3626,unh.edu,Reference
3627,familysearch.org,Society
3634,vancouversun.com,News
3636,wizards.com,Arts
3644,heritage.org,Society
3661,newswire.ca,News
3662,rpi.edu,Reference
3667,capterra.com,Computers
3675,bdnews24.com,News
3678,nami.org,Health
3683,internetdownloadmanager.com,Computers
3692,hypebeast.com,Arts
3699,unodc.org,Society
3701,commondreams.org,News
3702,archlinux.org,Computers
3710,dailytelegraph.com.au,Business
3712,bnf.fr,Reference
3721,newsobserver.com,News
3722,king.com,Games
3726,ml.com,Business
3730,sears.com,Business
3733,quantcast.com,Business
3736,zimbra.com,Computers
3738,inhabitat.com,Arts
3742,case.edu,Reference
3745,okcupid.com,Computers
3747,rferl.org,Arts
3757,djangoproject.com,Computers
3766,ku.dk,Reference
3770,aspca.org,Society
3771,inkscape.org,Computers
3772,getty.edu,Reference
3775,r-project.org,Science
3781,fiu.edu,Reference
3783,nato.int,Society
3792,boardgamegeek.com,Games
3797,edweek.org,Reference
3801,uu.se,Reference
3805,techspot.com,Computers
3816,anandtech.com,Computers
3818,tvguide.com,Arts
3829,eeoc.gov,Society
3836,marieclaire.com,Arts
3846,fox.com,Arts
3850,seattlepi.com,News
3852,gatesfoundation.org,Computers
3859,mcmaster.ca,Reference
3861,gandi.net,Computers
3864,ua.edu,Reference
3870,vocabulary.com,Games
3871,shell.com,Business
3877,gm.com,Recreation
3888,uc.edu,Reference
3896,pfizer.com,Business
3901,alamy.com,Business
3907,sportingnews.com,Sports
3908,nybooks.com,Arts
3909,ispconfig.org,Computers
3910,wwd.com,Arts
3919,vam.ac.uk,Reference
3924,ccavenue.com,Business
3928,st-andrews.ac.uk,Reference
3939,ul.com,Business
3940,americanprogress.org,Society
3945,newsnow.co.uk,News
3960,mindtools.com,Society
3962,ready.gov,Home
3971,megaupload.com,Computers
3974,smu.edu,Reference
3977,infoplease.com,Reference
3988,runnersworld.com,Sports
3989,usu.edu,Reference
3992,collider.com,Arts
4000,kyoto-u.ac.jp,Reference
4003,york.ac.uk,Reference
4004,cato.org,Society
4018,iaea.org,Science
4021,akc.org,Recreation
4027,easyjet.com,Recreation
4040,uwo.ca,Reference
4044,vogue.co.uk,Arts
4048,bepress.com,Reference
4050,gnupg.org,Computers
4059,szu.edu.cn,Reference
4061,aafp.org,Health
4072,sage.com,Computers
4073,sheknows.com,Society
4085,tennessean.com,News
4099,indystar.com,News
4101,nationalacademies.org,Science
4108,american.edu,Reference
4109,democracynow.org,Arts
4112,overdrive.com,Business
4114,morganstanley.com,Business
4119,sony.net,Business
4129,threadless.com,Shopping
4130,tagged.com,Computers
4132,kiplinger.com,Business
4133,f-secure.com,Computers
4134,saksfifthavenue.com,Shopping
4137,open.ac.uk,Reference
4138,kia.com,Recreation
4145,findarticles.com,News
4153,checkpoint.com,Computers
4163,commonsensemedia.org,Arts
4170,spacex.com,Science
4172,sina.com,Computers
4173,guidestar.org,Home
4183,capgemini.com,Business
4186,computerhope.com,Computers
4194,pmi.org,Business
4197,cancerresearchuk.org,Science
4200,unicode.org,Computers
4205,tau.ac.il,Reference
4207,equifax.com,Business
4215,care2.com,Computers
4218,aip.org,Science
4222,filehippo.com,Computers
4225,csoonline.com,Business
4239,movieweb.com,Arts
4241,cityu.edu.hk,Reference
4243,progressive.com,Business
4245,jpmorgan.com,Business
4248,techdirt.com,Computers
4257,ahrq.gov,Health
4261,desmoinesregister.com,News
4262,christies.com,Business
4264,sqlite.org,Computers
4280,crypto.com,Science
4284,lendingtree.com,Business
4292,jnj.com,Business
4309,wfp.org,News
4310,allure.com,Society
4319,ada.org,Health
4320,cox.com,Arts
4331,jal.co.jp,Recreation
4333,maine.edu,Reference
4336,fmprc.gov.cn,Society
4347,amnh.org,Reference
4367,wmo.int,Science
4381,bayer.com,Business
4389,newsvine.com,News
4391,netfirms.com,Computers
4396,prevention.com,Health
4413,icrc.org,Society
4416,suicidepreventionlifeline.org,Health
4431,uptodate.com,Business
4432,nab.com.au,Business
4435,harpercollins.com,Business
4439,miniclip.com,Games
4443,townhall.com,Society
4448,geico.com,Business
4451,mofa.go.jp,Society
4452,pdx.edu,Reference
4458,hasbro.com,Business
4459,statesman.com,News
4467,fortunecity.com,Computers
4468,nhm.ac.uk,Reference
4480,exeter.ac.uk,Reference
4493,unctad.org,Society
4497,bundestag.de,Society
4498,kroger.com,Business
4499,syracuse.com,News
4508,annals.org,Health
4510,rsf.org,News
